S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
215,Ravanasura,Action,50,50,52.5,5.7,10,24
216,Disco raja,Action,30,50,52.5,6.1,6.9,26
217,Republic,Action,40,50,44,7.8,14,40
218,Michael,Action,14.5,50,60,5,12,12
219,Son of india,Action,400,0,64,3.2,2.1,0.17
220,Operation valentine,Action,45,0,87.5,4.3,7.2,20
221,Saaho,Action,325,50,45.45,5.1,58,429
222,Goodachari,Action,6,100,80,8.5,3.5,45
223,V,Action,25,60,65,6.8,10,50
224,Wailtar veerayaa,Action,140,50,65,6.2,2.7,25
225,Dhruva,Action,50,66,57.14,7.7,5,120
226,Ganga of godavari,Action,11,50,53.3,5,7.8,20.8
227,Na saami ranga,Action,45,0,65,4.5,6.7,30.5
228,Sye ra narashima reddy,Action,200,50,65,7.5,12,240
229,Savyasachi,Action,24,50,65.4,4.1,3,60
230,Chhaava,Action,130,100,40,7.3,78,750
231,Deva,Action,50,0,43,6.7,37,30
232,Dangal,Action,70,100,85,8.3,100,1996
233,Animal,Action,100,100,70,6.1,113,550
234,Kesari,Action,80,100,75,7.4,10,65.45
235,Hotel Mumbai,Action,1.73,100,60,7.6,5,2.13
236,Gangs of Wasseypur,Action,18.4,75,85,8.2,5,4.3
237,Fighter,Action,250,100,80,6.2,45,344
238,Baby John,Action,160,100,72,5.2,71,180
239,Jawan,Action,300,100,90,6.9,45,"1,159"
240,Shershaah,Action,75,100,60,8.3,10,100
241,Jigra,Action,85,0,83.3,6,57,15
242,Dunki,Action,120,100,90,6.5,80,470.6
243,Haider,Action,35,100,80,8,3,85
244,Sikandar Ka Muqaddar,Action,1,75,75,6,47,17
245,Pathaan,Action,250,100,90,5.8,10,"1,052.50"
246,Uri: The Surgical Strike,Action,44,100,80,8.2,13,342.73
247,Article 370,Action,20,50,72.5,7.8,32,8
248,Brahmastra Part One: Shiva,Action,410,100,70,5.6,10,430.77
249,Shehzada,Action,85,50,60,4.5,75,47
250,War,Action,170,100,80,6.6,10,475
251,Tiger 3,Action,300,75,85,5.7,82,466.63
252,Tiger Zinda Hai,Action,130,100,85,5.9,29,565
253,Bade Miyan Chote Miyan,Action,350,100,75,3.7,55,28.84
254,Ek Tha Tiger,Action,75,100,85,5.7,5,320
255,Bang Bang,Action,140,100,80,5.7,0.176,340
256,Ram Setu,Action,150,50,75,5.3,42,185
257,Baadshaho,Action,90,50,80,4.9,20,150
258,Dhoom 2,Action,3.5,100,80,6.6,2.6,370
259,Dhoom 3,Action,100,75,85,5.4,37,550
260,Yodha,Action,55,75,60,5.7,38,85
261,Kisi Ka Bhai Kisi Ki Jaan,Action,125,50,85,4,57,185
262,A Flying Jatt,Action,45,50,50,3.1,41,75
263,Shamshera,Action,150,50,70,4.7,108,85
264,Sherni,Action,0.25,100,80,6.8,21,25
265,Junglee,Action,22,50,60,5.5,44,100
266,Housefull 2,Action,75,75,75,5.4,2.7,200
267,Khufiya,Action,37.5,100,82.5,6.1,41,10
268,Chandu Champion,Action,105,100,60,7.8,47,5
269,Raazi,Action,30,100,90,7.7,33,197
270,Happy New Year,Action,150,75,80,5,9.7,342
271,Agni,Action,40,50,82.5,7.2,15,50
272,An Action Hero,Action,45,50,80,7,29,16.24
273,Ludo,Action,35,100,75,7.6,9.4,100
274,Vikram Vedha,Action,100,100,80,7.1,61,135.03
275,Sankrathiki Vasthunam,Comedy,50,75,83,6.3,21,260
276,14 Days,Comedy,2,30,20,9,1.2,0.5
277,Srikakulam Sherlockhomes,Comedy,10.7,20,70,8.3,2.9,3
278,Mazaka,Comedy,30,62.5,60,6,1.4,12
279,Manamey,Comedy,20,40,75,9.2,7,17
280,Ala vaikuntapuramloo,Comedy,100,80,90,7.3,36,280
281,Laila,Comedy,18,73.3,30,2.6,8,10
282,Eega,Comedy,35,100,95,7.7,0.37,130
283,Sarileru Neekevaru,Comedy,75,75,75,5.8,45,207
284,SVSC,Comedy,40,40,83,7.5,0.44,51
285,Geetha govindam,Comedy,5,30,60,7.7,12,70
286,Tillu Sqaure,Comedy,40,80,70,6.6,15,125
287,Kushi,Comedy,70,71.4,95,5.4,21,180
288,Om Bheem Bush,Comedy,20,50,70,5.6,5.6,17
289,Mathu vadalara,Comedy,2,66.5,70,8.2,3,10
290,Alludu Seenu,Comedy,35,70.5,30,4.6,0.54,15.6
291,Kick,Comedy,15,60,80,7.9,0.22,36
292,Oh Baby,Comedy,30,50,95,7.3,9,38
293,Brundavanam,Comedy,28,80,90,7.1,0.61,35
294,Don seenu,Comedy,30,85.7,85,6,0.34,90
295,Ori devuda,Comedy,15,96,30,7.1,0.88,10
296,Rangabali,Comedy,12,30,45,5,5.9,16
297,bomarillu,Comedy,6,44.5,60,8.2,0.63,32
298,Attarintiki daredi,Comedy,55,80,95,7.3,0.25,187
299,darling,Comedy,6.5,90,90,7.4,0.2,4.75
300,dhamaka,Comedy,35,62.5,80,6.2,3.8,110
301,krishnarjuna yuddham,Comedy,20,40,95,5.8,6.9,38
302,bro,Comedy,20,60,60,6,37,115
303,devadas,Comedy,18,50,95,6.5,7,90
304,krishna and his leela,Comedy,3,80,70,5.8,0.71,12
305,nenu local,Comedy,16,62.5,95,6.4,4.4,58
306,Aadavallu miku joharalu,Comedy,33,75,75,5.8,9.5,35.5
307,Jathi ratnalu,Comedy,6,33.3,60,7.3,22,70
308,samajavaragamana,Comedy,5,33.3,70,7.5,3.7,30
309,maryada ramanna,Comedy,14,100,80,7.5,0.14,28.5
310,Malliswari,Comedy,10,42.8,83,7.8,0.45,30
311,Ante sundharaniki,Comedy,30,75,95,8,20,30
312,Aadavari matalaku ardalu verule,Comedy,3,40.6,83,7.6,0.35,10
313,Pilla zamindar,Comedy,7,70,80,7.7,20,50
314,Kandeerga,Comedy,15,60,60,6.2,0.6,22
315,Soggade chinni nayana,Comedy,20,85,90,6.3,1.5,82
316,Agent sai srinivasa athreya,Comedy,1.5,75,90,8.3,5,15
317,Ashta chamma,Comedy,1.6,70,70,7.4,0.6,7
318,MAD,Comedy,8,60,60,7.5,10,26
319,Jalsa,Comedy,25,90,90,7.4,2,47.55
320,Manmadhudu,Comedy,5,85,90,4.8,0.237,30
321,Shankar dada MBBS,Comedy,15,50,90,7.6,0.434,20
322,Ginna,Comedy,25,85,50,3,7.3,2
323,Gopala gopala,Comedy,12,90,90,7.2,0.574,88.1
324,Oopiri,Comedy,21,75,90,8,3,30
325,Pelli choopulu,Comedy,1.2,75,60,8.5,0.794,30
326,Mem famous,Comedy,3,30,20,7.1,1.7,3.9
327,Orange,Comedy,32,44.5,57.14,6.7,0.223,3.36
328,Krishana gadi veera prema kadha,Comedy,14,66.66,95,7.4,0.53,10.86
329,Chalo,Comedy,3,30,40.17,6.3,0.916,16
330,F3,Comedy,60,75,83,4.7,5.7,134
331,Doctor,Comedy,40,42.8,75,7.4,3.5,90
332,Varsham,Comedy,10,62.5,73.33,7.3,0.26,32
333,Premam,Comedy,20,30,40.17,6.4,3.2,60
334,Fidaa,Comedy,13,75,50,7.4,12,91
335,Middle class melodies,Comedy,2,75,40,7.5,0.204,51
336,Duvvada jaganadham,Comedy,50,60,90,6,22,125
337,Badri,Comedy,20,61.1,60,7.3,0.11,18
338,Race gurram,Comedy,52,60,90,7.3,0.112,101.3
339,Gam gam ganesha,Comedy,4,0,40,5.3,3.4,6.05
340,Gang leader,Comedy,40,25,95,7.6,7,45.8
341,Supreme,Comedy,20,75,42.85,6.1,1.2,20
342,Keeda cola,Comedy,2,75,30,7.4,6.6,16
343,Daruvu,Comedy,20,60.7,85,5.3,0.3,20
344,Das ka dhamki,Comedy,8.59,100,30,6.1,8.2,22.8
345,Happy,Comedy,2,90,90,7.1,1.6,18
346,Mirapakay,Comedy,1.5,60,85,6.3,0.218,17.02
347,Size zero,Comedy,25,28.5,70,5.5,7.5,9.5
348,Kirrak party,Comedy,10,50,33.33,7,3.2,11
349,Aay,Comedy,8,75,33.33,6.4,3.1,14.09
350,King,Comedy,20,70,90,6.5,0.45,100
351,Sailja reddy alludu,Comedy,15,60,40.17,5,8.3,26.5
352,Venkatadri express,Comedy,10,40,60,7.5,0.329,13.5
353,Raja raja chor,Comedy,2.2,20,70,7.5,0.38,11.15
354,Hushaaru,Comedy,1,66.66,30,6.7,1.2,5
355,ABCD,Comedy,4.5,25,10,5.5,7,12.5
356,Rang de,Comedy,30,80,65,6.3,16,24
357,Dubai seenu,Comedy,9,50,85,6.5,0.32,15.89
358,PellisandaD,Comedy,1.25,70,10,2.9,11,12
359,Khaleja,Comedy,32,80,75,7.6,0.85,20.02
360,F2,Comedy,30,75,83,6.1,14,100
361,Ready,Comedy,8,70,33,7.2,0.16,17
362,Run raaja run,Comedy,4,20,65,7.3,0.574,20
363,Kalyana vibhogame,Comedy,1,50,35.2,7.5,0.676,1.53
364,Babu bangaram,Comedy,20,60,83,5,0.953,80
365,Loukhyam,Comedy,12,44.44,73.33,8,0.65,50
366,Krishna vrinda vihari,Comedy,8.9,50,35.2,5.8,0.987,8.9
367,Bruce Lee,Comedy,5,70,57.14,8,0.451,30
368,Oka laila kosam,Comedy,20,33.33,40.17,6,0.83,40
369,Writer padmabhusam,Comedy,3,100,75,7.5,0.178,10.34
370,Dhee,Comedy,5,70,20,7.2,11,12
371,Raju gari gadhi,Comedy,2,60,33.33,5.1,0.53,50
372,Paagal,Comedy,7,0,30,5.6,7.7,6
373,Anubavinchu raaja,Comedy,8,66,40,5.4,6.1,4.95
374,Body guard,Comedy,20,50,83,5,0.12,21.3
375,Sundaram master,Comedy,1.5,0,70,7,3,55
376,Seema tapakai,Comedy,4,60,65,7.3,3.4,2.06
377,Pareshan,Comedy,1.15,50,33,5.7,1.3,12
378,Sudigaadu,Comedy,3.5,60,65,6.1,0.306,22
379,Like share and subscribe,Comedy,2,40,23,5.2,2,1.34
380,Gaali sampath,Comedy,20,50,70,6.5,0.145,0.8
381,BomBhaat,Comedy,10,0,65,5.6,1.4,1
382,Kithakithalu,Comedy,1.5,80,70,6,57,8
383,Pressure cooker,Comedy,4.4,0,41.67,6.3,0.152,0.6
384,Bheeshma,Comedy,25,30,65,6.6,14,50
385,Naani,Comedy,14,62.5,75,5.2,0.823,71.65
386,Tenali ramakrishna BA. BL,Comedy,8,25,60,4.9,3.7,10
387,Jyo Achyutananda,Comedy,1.2,40,35.2,6.1,1.1,7
388,Mahanubhavudu,Comedy,12,60,65,6.4,4.5,36
389,Happy birthday,Comedy,6,33.33,40.5,5.6,1.1,3
390,Poola Rangadu,Comedy,2,25,80,5.6,0.138,8
391,Sudigadu,Comedy,1,25,75,6.1,0.442,14
392,Robinhood,Comedy,60,30,65,4.5,15,15
393,Swag,Comedy,15,20,70,7.5,2.4,4.15
394,Maruti nagar subramanyam,Comedy,4,0,40,7.7,0.339,4
395,35 chinna katha kadu,Comedy,15,40,65,7.9,0.537,3.35
396,Pakka commercial,Comedy,12.5,60,73.33,4.2,8.3,14.18
397,Slum dog husband,Comedy,1,20,10,6.5,0.221,0.4
398,Ramnagar bunny,Comedy,4,0,30,6.9,1,1.35
399,Lucky bhaskar,Thriller,56,70,100,8,2.1,107
400,Thandel,Thriller,80,80,20,5.9,15,100
401,Kalki-2989AD,Thriller,200,80,43,7,31,1200
402,Fear,Thriller,12,60,30,8.8,1,15
403,Legally Veer,Thriller,4,100,0,7.9,0.06,0.08
404,Pushpa the rise-part 1,Thriller,200,77.78,52.63,7.6,74,373
405,Hathya,Thriller,6,50,33,7.7,2,0.24
406,Agent,Thriller,150,75,25,3.7,0.17,10.05
407,Devara -1,Thriller,200,80,45,6,20,146
408,Saripodha Sanivaram,Thriller,90,75,60,7,22,94.85
409,Ramam Raghavam,Thriller,25,84,35,6.2,0.546,0.3
410,Mangalvaram,Thriller,10,66.67,37.5,6.8,11,21.35
411,Guard-Revenge of Love,Thriller,4,50,31,9.3,1,0.03
412,My name is Shruti,Thriller,2.5,100,40,6.2,2.8,1
413,Evaru,Thriller,8,70,71,8.1,7.9,21.12
414,Maguva,Thriller,24,49,25,4.9,0.052,3
415,Mr.Bachchan,Thriller,70,80,50,3.6,7.1,7
416,Bharat ane nenu,Thriller,60,80,75,7.4,20,125
417,Hit the second case,Thriller,15,70,71,7.1,8.9,35
418,Rakshana,Thriller,10,56,60,5.6,1.2,0.54
419,Eagle,Thriller,150,50,50,5.9,15,30.6
420,Hit,Thriller,15,70,44,7.6,2.2,22
421,Gaami,Thriller,6,60,44.4,6.4,9.6,22
422,Yashoda,Thriller,50,65,65,6.5,6.2,30
423,Virupaksha,Thriller,30,85,46.7,7.2,14,90.5
424,Bhoothaddam Bhaskar Narayana,Thriller,5,50,60,6.3,3.1,6
425,RED,Thriller,30,60,33,6.5,0.267,6.7
426,Highway,Thriller,25,60,33.33,3.9,1,52.44
427,Ghatikachalam,Thriller,50,40,25,7,0.082,1.16
428,Pushpaka Vimanam,Thriller,20,55,33.3,6.3,0.705,0.55
429,Ekkadiki Pothavu Chinnavada,Thriller,12,68,41,7.4,0.021,20
430,Atharva,Thriller,5,45,42.1,6.7,0.22,0.9
431,Chakravyuham:The Trap,Thriller,2,55,71,7.1,0.24,2.5
432,Nene Raju nene Mantri,Thriller,20,70,50,5.8,11,30
433,Falaknamu Das,Thriller,5,60,44,6.3,5.9,12
434,The Birthday Boy,Thriller,4,35,70,8.8,3.4,0.13
435,Khaidi No.150,Thriller,70,90,65,5.8,10,164
436,Drushyam 2,Thriller,20,80,83,8.1,17,60
437,Awe!,Thriller,5,85,90,7.6,1,8
438,Bujji Ila Raa,Thriller,3,50,50,6.6,2,2
439,Godse,Thriller,20,50,60,5.7,4.6,4
